aw,xw,norrish,virial,uniquac,raoult,caurie
0.848284,0.622500,0.457689,0.038274,0.041932,0.799612,0.799612
0.900813,0.625769,0.372698,0.078480,0.029639,0.819742,0.819742
0.840122,0.489364,0.376447,0.027162,0.019096,0.847952,0.847952
0.818200,0.872602,0.467351,0.049766,0.152359,0.467351,0.467351
0.968000,0.967020,0.115410,0.075388,0.026181,0.118282,0.118282
0.995750,0.997631,0.826519,0.046955,0.506140,0.826519,0.826519
0.980833,0.985547,0.353375,0.054268,0.184877,0.353375,0.353375
0.921470,0.930806,0.131510,0.022324,0.052460,0.131510,0.131510
0.877219,0.896402,0.211681,0.113636,0.148094,0.211681,0.211681
0.956338,0.975416,0.728183,0.224993,0.582223,0.728183,0.728183
0.850933,0.893243,0.393793,0.128146,0.285886,0.393793,0.393793
0.911083,0.937888,0.427388,0.221582,0.352126,0.427388,0.427388
0.953926,0.959285,0.136613,0.016012,0.036972,0.136613,0.136613
0.984654,0.984653,0.005952,0.005239,0.003600,0.005953,0.005953
0.978989,0.979342,0.016951,0.007764,0.007563,0.016951,0.016951
0.986496,0.986738,0.014496,0.004713,0.005895,0.014496,0.014496
0.979187,0.980046,0.032738,0.015952,0.018576,0.032738,0.032738
0.993773,0.994077,0.044136,0.022866,0.040354,0.044136,0.044136
0.979552,0.982128,0.108408,0.071763,0.095657,0.108408,0.108408
0.987360,0.988063,0.044351,0.027970,0.036068,0.044351,0.044351
0.979888,0.979803,0.013862,0.005685,0.003249,0.014246,0.014246
0.993769,0.994389,0.095439,0.051854,0.090168,0.095439,0.095439
0.984620,0.984306,0.017148,0.009234,0.003294,0.022869,0.022869
0.983317,0.983676,0.017031,0.006850,0.006857,0.017031,0.017031
0.981041,0.983401,0.100568,0.065245,0.087653,0.100568,0.100568
0.979718,0.980213,0.018817,0.004136,0.004907,0.018817,0.018817
0.981913,0.981787,0.010821,0.005220,0.001964,0.012149,0.012149
0.994948,0.995001,0.011123,0.007846,0.008530,0.011123,0.011123
0.994986,0.995041,0.011061,0.007269,0.008572,0.011061,0.011061
0.994486,0.994534,0.008204,0.002834,0.004509,0.008204,0.008204
0.994997,0.995048,0.009694,0.005065,0.007073,0.009694,0.009694
0.995029,0.995047,0.008114,0.006969,0.003455,0.008114,0.008114
0.898410,0.937605,1.261794,0.739799,0.188013,1.261794,1.261794
0.894450,0.937555,1.695058,1.135438,0.075247,1.695058,1.695058
0.896828,0.937478,1.517589,0.988968,0.089454,1.517589,1.517589
0.900029,0.937364,1.295745,0.798690,0.186786,1.295745,1.295745
0.898199,0.937166,1.427796,0.911192,0.125822,1.427796,1.427796
0.900014,0.937082,1.414388,0.924484,0.161700,1.414388,1.414388
0.900735,0.937098,1.220508,0.745204,0.158201,1.220508,1.220508
0.904784,0.937097,1.015741,0.582247,0.217674,1.015741,1.015741
0.903499,0.936974,1.134756,0.696355,0.177529,1.134756,1.134756
0.907197,0.936998,1.121529,0.750625,0.097876,1.121529,1.121529
0.907224,0.937145,1.043569,0.661914,0.160237,1.043569,1.043569
0.897906,0.936565,1.324625,0.813845,0.170032,1.324625,1.324625
0.848284,0.897280,0.550657,0.293929,0.429729,0.550657,0.550657
0.913121,0.940923,0.885297,0.542460,0.216531,0.885297,0.885297
0.919109,0.940713,0.686682,0.431761,0.191547,0.686682,0.686682
0.908833,0.940497,1.223310,0.807278,0.217559,1.223310,1.223310
0.910630,0.940333,1.092295,0.709703,0.199975,1.092295,1.092295
0.913661,0.940404,1.364890,1.022344,0.264869,1.364890,1.364890
0.914677,0.940339,1.105503,0.775619,0.267403,1.105503,1.105503
0.915020,0.940160,1.055704,0.743003,0.267792,1.055704,1.055704
0.917124,0.940227,0.992324,0.700000,0.297550,0.992324,0.992324
0.915643,0.940292,0.964076,0.645757,0.216231,0.964076,0.964076
0.919991,0.940219,0.749890,0.526722,0.288894,0.749890,0.749890
0.918670,0.939903,0.676045,0.400844,0.225913,0.676045,0.676045
0.910658,0.939563,1.138030,0.764130,0.196311,1.138030,1.138030
0.922504,0.929178,0.648179,0.506061,0.372413,0.648179,0.648179
0.992993,0.986216,0.190366,0.001351,0.000787,0.494828,0.494828
0.971910,0.958065,0.245801,0.078176,0.078052,0.379830,0.379830
0.955333,0.975939,0.792078,0.576386,0.772562,0.792078,0.792078
0.953867,0.975939,0.828860,0.513376,0.783295,0.828860,0.828860
0.948929,0.974922,0.971316,0.433275,0.860948,0.971316,0.971316
0.972667,0.982302,0.511907,0.303080,0.440984,0.511907,0.511907
0.971833,0.982326,0.526013,0.289908,0.478444,0.526013,0.526013
0.967727,0.981615,0.703358,0.232932,0.579354,0.703358,0.703358
0.987200,0.990639,0.344002,0.278373,0.338546,0.344002,0.344002
0.985333,0.990129,0.478656,0.212721,0.360727,0.478656,0.478656
0.984444,0.990161,0.734562,0.348721,0.353464,0.734562,0.734562
0.982615,0.989478,0.599425,0.423903,0.567653,0.599425,0.599425
0.981385,0.989478,0.671748,0.353497,0.607853,0.671748,0.671748
0.978083,0.989048,1.001737,0.301608,0.723852,1.001737,1.001737
0.989437,0.988033,0.017662,0.043695,0.021901,0.104510,0.104510
0.968129,0.967887,0.044736,0.026881,0.023512,0.045134,0.045134
0.990258,0.981620,0.246136,0.009610,0.005209,0.480209,0.480209
0.988097,0.922860,0.433423,0.433335,0.108113,0.598460,0.598460
0.993207,0.984702,0.256867,0.019053,0.005388,0.549644,0.549644
0.983625,0.966541,0.292480,0.018396,0.014711,0.514100,0.514100
0.996441,0.993078,0.195996,0.004228,0.003109,0.488907,0.488907
0.994064,0.995727,0.409338,0.033934,0.177659,0.409338,0.409338
0.998039,0.998137,0.076413,0.041717,0.024191,0.076413,0.076413
0.993979,0.994645,0.151512,0.045925,0.046129,0.151512,0.151512
0.995654,0.996050,0.119017,0.034029,0.027769,0.119017,0.119017
0.994245,0.995316,0.254090,0.045774,0.098166,0.254090,0.254090
0.997347,0.997560,0.112232,0.035679,0.023408,0.112232,0.112232
0.994190,0.994581,0.096048,0.037426,0.018039,0.096048,0.096048
0.994400,0.994612,0.095319,0.066734,0.025475,0.095319,0.095319
0.994017,0.994599,0.133765,0.042753,0.035703,0.133765,0.133765
0.984975,0.983010,0.063601,0.069700,0.050478,0.105526,0.105526
0.989778,0.989508,0.066546,0.071856,0.030633,0.069755,0.069755
0.985046,0.981105,0.149544,0.107625,0.067824,0.210904,0.210904
0.994129,0.994784,0.151529,0.074578,0.083177,0.151529,0.151529
0.983000,0.981838,0.034391,0.023169,0.019486,0.067991,0.067991
0.977857,0.973707,0.127971,0.059139,0.023039,0.191219,0.191219
0.993667,0.991594,0.111420,0.031074,0.031011,0.251359,0.251359
0.945500,0.954358,0.179484,0.101541,0.149365,0.179484,0.179484
0.982160,0.982455,0.051004,0.047635,0.042975,0.051004,0.051004
0.972680,0.970763,0.046391,0.053834,0.049868,0.075300,0.075300
0.970000,0.965316,0.044727,0.071575,0.043892,0.128314,0.128314
0.989730,0.989509,0.036314,0.022126,0.000948,0.040982,0.040982
0.988027,0.988020,0.025632,0.020153,0.015607,0.025638,0.025638
0.989773,0.989771,0.002522,0.000788,0.000628,0.002530,0.002530
0.989115,0.989238,0.011435,0.005382,0.006179,0.011435,0.011435
0.989911,0.989721,0.033684,0.022946,0.005365,0.037617,0.037617
0.988254,0.988308,0.025176,0.022840,0.021653,0.025176,0.025176
0.989775,0.989998,0.020356,0.007202,0.012058,0.020356,0.020356
0.989020,0.989324,0.026209,0.009832,0.017446,0.026209,0.026209
0.989767,0.988970,0.019744,0.015987,0.002377,0.067308,0.067308
0.988254,0.987390,0.013634,0.021189,0.003940,0.062473,0.062473
0.989278,0.988683,0.003558,0.020993,0.005816,0.047839,0.047839
0.989469,0.988966,0.000953,0.019454,0.006303,0.041631,0.041631
0.999496,0.999496,0.006708,0.006115,0.005091,0.006708,0.006708
0.999489,0.999484,0.022008,0.019538,0.018410,0.023507,0.023507
0.979410,0.977346,0.027115,0.039153,0.032193,0.077815,0.077815
0.981926,0.980307,0.021798,0.042109,0.039871,0.065502,0.065502
0.996763,0.996660,0.010016,0.013138,0.008091,0.031553,0.031553
0.998217,0.998198,0.037738,0.033981,0.034457,0.038536,0.038536
